"stockcode","tradingdate","openprice","closeprice","highestprice","lowestprice","totalvol"
"MSN","2020-10-23","68880.72533664895050000000000","69609.19364220693000000000000","69690.13456504670550000000000","68395.07979961029750000000000","3419860"
"MSN","2020-10-26","68556.96164528984850000000000","71147.07117616266450000000000","71147.07117616266450000000000","68556.96164528984850000000000","4666520"
"MSN","2020-10-27","71228.01209900244000000000000","71147.07117616266450000000000","72037.42132740019500000000000","68799.78441380917500000000000","4042910"
"MSN","2020-10-28","71066.13025332288900000000000","69609.19364220693000000000000","71066.13025332288900000000000","68152.25703109097100000000000","4631980"
"MSN","2020-10-29","67180.96595701366500000000000","67990.37518541142000000000000","68799.78441380917500000000000","64752.73827182040000000000000","6707870"
"MSN","2020-10-30","66533.43857429546100000000000","67990.37518541142000000000000","67990.37518541142000000000000","64348.03365762152250000000000","4060060"
"MSN","2020-11-02","67990.37518541142000000000000","68395.07979961029750000000000","68395.07979961029750000000000","66614.37949713523650000000000","3845900"
"MSN","2020-11-03","67990.37518541142000000000000","67990.37518541142000000000000","68233.19795393074650000000000","67342.84780269321600000000000","3178300"
"MSN","2020-11-04","67990.37518541142000000000000","68152.25703109097100000000000","68556.96164528984850000000000","67261.90687985344050000000000","2008660"
"MSN","2020-11-05","68395.07979961029750000000000","71147.07117616266450000000000","71147.07117616266450000000000","67828.49333973186900000000000","1794890"
"MSN","2020-11-06","71066.13025332288900000000000","72765.88963295817450000000000","72765.88963295817450000000000","70418.60287060468500000000000","1218300"
"MSN","2020-11-09","72846.83055579795000000000000","77379.52223482537800000000000","77379.52223482537800000000000","72684.94871011839900000000000","2470010"
"MSN","2020-11-10","77703.28592618448000000000000","77217.64038914582700000000000","79322.10438297999000000000000","76812.93577494694950000000000","3489650"
"MSN","2020-11-11","75841.64470086964350000000000","77217.64038914582700000000000","77217.64038914582700000000000","74465.64901259346000000000000","2025450"
"MSN","2020-11-12","77298.58131198560250000000000","75355.99916383099050000000000","77298.58131198560250000000000","75355.99916383099050000000000","484080"
"MSN","2020-11-13","75032.23547247188850000000000","72927.77147863772550000000000","75032.23547247188850000000000","72765.88963295817450000000000","1094470"
"MSN","2020-11-16","72442.12594159907250000000000","67909.43426257164450000000000","72927.77147863772550000000000","67909.43426257164450000000000","2454980"
"MSN","2020-11-17","67990.37518541142000000000000","68799.78441380917500000000000","69528.25271936715450000000000","67828.49333973186900000000000","813710"
"MSN","2020-11-18","68880.72533664895050000000000","67100.02503417388950000000000","68880.72533664895050000000000","66938.14318849433850000000000","985490"
"MSN","2020-11-19","67180.96595701366500000000000","66371.55672861591000000000000","67504.72964837276700000000000","65562.14750021815500000000000","1205410"
"MSN","2020-11-20","66128.73396009658350000000000","66371.55672861591000000000000","67909.43426257164450000000000","65643.08842305793050000000000","1166780"
"MSN","2020-11-23","66371.55672861591000000000000","67261.90687985344050000000000","67504.72964837276700000000000","66371.55672861591000000000000","871370"
"MSN","2020-11-24","67261.90687985344050000000000","66371.55672861591000000000000","67261.90687985344050000000000","64752.73827182040000000000000","679550"
"MSN","2020-11-25","66371.55672861591000000000000","66614.37949713523650000000000","67180.96595701366500000000000","66371.55672861591000000000000","686650"
"MSN","2020-11-26","66128.73396009658350000000000","67747.55241689209350000000000","67909.43426257164450000000000","66047.79303725680800000000000","510660"
"MSN","2020-11-27","67747.55241689209350000000000","67747.55241689209350000000000","67747.55241689209350000000000","67019.08411133411400000000000","420570"
"MSN","2020-11-30","66452.49765145568550000000000","66371.55672861591000000000000","67585.67057121254250000000000","66128.73396009658350000000000","964680"
"MSN","2020-12-01","65157.44288601927750000000000","67180.96595701366500000000000","67180.96595701366500000000000","65157.44288601927750000000000","1051590"
"MSN","2020-12-02","67180.96595701366500000000000","67342.84780269321600000000000","67990.37518541142000000000000","66371.55672861591000000000000","741130"
"MSN","2020-12-03","67423.78872553299150000000000","67504.72964837276700000000000","67990.37518541142000000000000","66776.26134281478750000000000","542070"
"MSN","2020-12-04","67990.37518541142000000000000","69609.19364220693000000000000","70823.30748480356250000000000","67585.67057121254250000000000","1978040"
"MSN","2020-12-07","70013.89825640580750000000000","69609.19364220693000000000000","70499.54379344446050000000000","69204.48902800805250000000000","825210"
"MSN","2020-12-08","69690.13456504670550000000000","69204.48902800805250000000000","69932.95733356603200000000000","69042.60718232850150000000000","855880"
"MSN","2020-12-09","69204.48902800805250000000000","69123.54810516827700000000000","69366.37087368760350000000000","68799.78441380917500000000000","840910"
"MSN","2020-12-10","69123.54810516827700000000000","67909.43426257164450000000000","69123.54810516827700000000000","67666.61149405231800000000000","1432910"
"MSN","2020-12-11","67909.43426257164450000000000","68395.07979961029750000000000","68476.02072245007300000000000","67342.84780269321600000000000","791100"
"MSN","2020-12-14","68556.96164528984850000000000","68395.07979961029750000000000","68880.72533664895050000000000","67909.43426257164450000000000","1079350"
"MSN","2020-12-15","68395.07979961029750000000000","68395.07979961029750000000000","68637.90256812962400000000000","67909.43426257164450000000000","935010"
"MSN","2020-12-16","67990.37518541142000000000000","68395.07979961029750000000000","68476.02072245007300000000000","67909.43426257164450000000000","648540"
"MSN","2020-12-17","68275.32027091875800000000000","68684.15452403803200000000000","68929.45507590959640000000000","67702.95231655177440000000000","1179730"
"MSN","2020-12-18","68438.85397216646760000000000","68765.92137466188680000000000","68929.45507590959640000000000","68438.85397216646760000000000","1417470"
"MSN","2020-12-21","69501.82303027658000000000000","68520.62082279032240000000000","69501.82303027658000000000000","68193.55342029490320000000000","827020"
"MSN","2020-12-22","68520.62082279032240000000000","67702.95231655177440000000000","68684.15452403803200000000000","67457.65176468021000000000000","805250"
"MSN","2020-12-23","67621.18546592791960000000000","67702.95231655177440000000000","68929.45507590959640000000000","67539.41861530406480000000000","910150"
"MSN","2020-12-24","67702.95231655177440000000000","67621.18546592791960000000000","67866.48601779948400000000000","66885.28381031322640000000000","638900"
"MSN","2020-12-25","67866.48601779948400000000000","67457.65176468021000000000000","67948.25286842333880000000000","67375.88491405635520000000000","598590"
"MSN","2020-12-28","67866.48601779948400000000000","67375.88491405635520000000000","68030.01971904719360000000000","67130.58436218479080000000000","553150"
"MSN","2020-12-29","68684.15452403803200000000000","68030.01971904719360000000000","68684.15452403803200000000000","67866.48601779948400000000000","1440210"
