signal_date,fill_date,ticker,detector,fill_price,window_id,days_since_buy
2017-09-18,2017-09-19,REE,C,17221.647557518503,8,11
2018-04-10,2018-04-11,REE,C,19638.365564014162,9,17
2019-07-04,2019-07-05,REE,C,17112.00541754348,10,1
2020-04-17,2020-04-20,REE,C,16743.38098142021,11,1
2020-08-25,2020-08-26,REE,C,19930.02445852922,12,2
2020-11-23,2020-11-24,REE,C,24872.022393367766,13,3
2021-03-19,2021-03-22,REE,C,30570.173017689805,14,14
2021-05-20,2021-05-21,REE,C,31542.369332740014,16,2
2021-09-17,2021-09-20,REE,C,36295.329095207686,17,2
2022-12-05,2022-12-06,REE,C,49813.88694359741,19,1
2023-04-04,2023-04-05,REE,C,43971.90524655509,20,15
2023-12-05,2023-12-06,REE,C,42838.05826126892,21,15
2024-03-08,2024-03-11,REE,C,45510.921930184515,22,4
2024-05-16,2024-05-17,REE,C,50577.144029092786,23,1
2024-06-20,2024-06-21,REE,C,56471.18089554668,24,7
2025-03-10,2025-03-11,REE,C,63153.62838468722,26,2
2025-05-20,2025-05-21,REE,C,62041.16609606807,27,1
2017-06-14,2017-06-15,SAB,C,73417.16240674215,7,18
2017-09-05,2017-09-06,SAB,C,93043.53255507916,8,2
2019-07-08,2019-07-09,SAB,C,104298.79858996751,10,3
2020-05-08,2020-05-11,SAB,C,66295.8617925844,11,14
2020-08-31,2020-09-01,SAB,C,74300.38814420204,12,6
2020-11-19,2020-11-20,SAB,C,72768.4213783422,13,1
2021-06-11,2021-06-14,SAB,C,64131.567927959004,16,18
2021-09-17,2021-09-20,SAB,C,63310.87144624838,17,2
2023-03-16,2023-03-17,SAB,C,77800.94300281972,20,2
2024-03-06,2024-03-07,SAB,C,51632.10839707762,22,2
2024-05-17,2024-05-20,SAB,C,48936.79441876362,23,2
2024-09-26,2024-09-27,SAB,C,50769.83634045603,25,2
2015-11-03,2015-11-04,SBT,A,8180.600423140977,4,19
2017-05-24,2017-05-25,SBT,A,19432.69008490913,7,3
2025-03-10,2025-03-11,SBT,A,14700.0,26,2
2014-04-11,2014-04-14,SBT,C,6271.150225271461,1,17
2014-06-25,2014-06-26,SBT,C,6022.527918876793,2,8
2015-10-08,2015-10-09,SBT,C,7327.408967966764,4,1
2016-10-12,2016-10-13,SBT,C,18073.76070834206,5,12
2017-03-23,2017-03-24,SBT,C,16578.93839411828,6,3
2017-05-22,2017-05-23,SBT,C,18209.653645998766,7,1
2020-08-25,2020-08-26,SBT,C,11084.539846589143,12,2
2020-11-19,2020-11-20,SBT,C,13357.658076483158,13,1
2021-03-09,2021-03-10,SBT,C,17449.88858546355,14,6
2021-06-03,2021-06-04,SBT,C,16600.557725109127,16,12
2021-09-22,2021-09-23,SBT,C,17642.91832645319,17,5
2021-12-22,2021-12-23,SBT,C,18685.27892779725,18,20
2022-12-21,2022-12-22,SBT,C,12389.56207482993,19,13
2023-04-03,2023-04-04,SBT,C,12224.367913832199,20,14
2023-12-04,2023-12-05,SBT,C,12722.222222222226,21,14
2024-05-21,2024-05-22,SBT,C,10995.634920634924,23,4
2024-06-28,2024-07-01,SBT,C,10768.452380952385,24,13
2025-03-10,2025-03-11,SBT,C,14700.0,26,2
2025-05-21,2025-05-22,SBT,C,18050.0,27,2
2021-05-27,2021-05-28,SCS,A,55053.13478707988,16,7
2021-11-29,2021-11-30,SCS,A,64202.49322614078,18,3
2024-03-05,2024-03-06,SCS,A,65140.63054994934,22,1
2024-05-24,2024-05-27,SCS,A,77100.0431899791,23,7
2024-06-24,2024-06-25,SCS,A,80642.84791640376,24,9
2017-09-28,2017-09-29,SCS,C,19328.37191055069,8,19
2018-03-27,2018-03-28,SCS,C,58633.581039409284,9,7
2020-08-28,2020-08-31,SCS,C,44269.53106589945,12,5
2020-11-20,2020-11-23,SCS,C,47107.32151884172,13,2
2021-03-02,2021-03-03,SCS,C,52320.00043594825,14,1
2021-05-27,2021-05-28,SCS,C,55053.13478707988,16,7
2021-09-24,2021-09-27,SCS,C,55507.98630648786,17,7
2021-11-26,2021-11-29,SCS,C,56957.070793096675,18,2
2022-12-05,2022-12-06,SCS,C,57685.6749089436,19,1
2024-03-05,2024-03-06,SCS,C,65140.63054994934,22,1
2024-05-21,2024-05-22,SCS,C,75149.21701465509,23,4
2025-06-02,2025-06-03,SCS,C,59113.365190895594,27,10
2017-04-10,2017-04-11,SHB,A,1936.6490053727298,6,14
2021-03-18,2021-03-19,SHB,A,7670.9456697185715,14,13
2021-03-31,2021-04-01,SHB,A,10109.913010859862,15,10
2021-05-28,2021-05-31,SHB,A,13055.089277289391,16,8
2025-03-14,2025-03-17,SHB,A,9203.911148453495,26,6
2014-03-26,2014-03-27,SHB,C,2882.926834114029,1,6
2014-06-30,2014-07-01,SHB,C,2414.7592285741443,2,11
2015-01-09,2015-01-12,SHB,C,2386.444382625043,3,1
2016-10-14,2016-10-17,SHB,C,1433.0338064309462,5,14
2017-03-24,2017-03-27,SHB,C,1755.0881611190364,6,4
2017-05-22,2017-05-23,SHB,C,2148.469990335372,7,1
2017-09-20,2017-09-21,SHB,C,2481.3315381338098,8,13
2018-04-09,2018-04-10,SHB,C,4409.334789018298,9,16
2020-04-17,2020-04-20,SHB,C,7080.872925894067,11,1
2020-08-28,2020-08-31,SHB,C,5507.345609028718,12,5
2020-11-25,2020-11-26,SHB,C,6726.829279599363,13,5
2021-03-11,2021-03-12,SHB,C,6805.50564544263,14,8
2021-03-30,2021-03-31,SHB,C,9244.47298658392,15,9
2021-05-19,2021-05-20,SHB,C,12622.801552875835,16,1
2021-10-04,2021-10-05,SHB,C,12104.056283579568,17,13
2023-03-23,2023-03-24,SHB,C,6516.737201764944,20,7
2023-12-04,2023-12-05,SHB,C,8090.993853351211,21,14
2024-05-16,2024-05-17,SHB,C,8635.231108060934,23,1
2024-06-13,2024-06-14,SHB,C,8780.361042650195,24,2
2024-09-26,2024-09-27,SHB,C,8220.140314968077,25,2
2025-03-14,2025-03-17,SHB,C,9203.911148453495,26,6
2025-05-21,2025-05-22,SHB,C,11347.287717271432,27,2
2020-11-19,2020-11-20,SIP,A,46833.57296512577,13,1
2024-03-11,2024-03-12,SIP,A,62038.59451938945,22,5
2024-06-05,2024-06-06,SIP,A,71268.95195645168,23,15
2020-04-27,2020-04-28,SIP,C,24069.751363852054,11,7
2020-09-09,2020-09-10,SIP,C,26071.95490290746,12,12
2020-11-19,2020-11-20,SIP,C,46833.57296512577,13,1
2021-03-08,2021-03-09,SIP,C,68040.60635708061,14,5
2021-06-11,2021-06-14,SIP,C,57024.82229345244,16,18
2023-03-28,2023-03-29,SIP,C,28226.890327860932,20,10
2023-11-21,2023-11-22,SIP,C,41901.90877634268,21,5
2024-03-11,2024-03-12,SIP,C,62038.59451938945,22,5
2024-05-16,2024-05-17,SIP,C,66105.58911062712,23,1
2016-09-27,2016-09-28,SJS,A,8492.368695652187,5,1
2017-04-13,2017-04-14,SJS,A,9142.539130434774,6,17
2020-12-03,2020-12-04,SJS,A,10733.217391304344,13,11
2021-04-13,2021-04-14,SJS,A,17373.913043478256,15,19
2021-09-22,2021-09-23,SJS,A,25867.826086956513,17,5
2021-11-25,2021-11-26,SJS,A,27798.26086956521,18,1
2023-11-22,2023-11-23,SJS,A,26987.478260869557,21,6
2024-03-18,2024-03-19,SJS,A,30732.521739130425,22,10
2014-03-26,2014-03-27,SJS,C,8161.106086956534,1,6
2015-01-12,2015-01-13,SJS,C,7619.040000000012,3,2
2015-10-22,2015-10-23,SJS,C,6926.4000000000115,4,11
2016-09-27,2016-09-28,SJS,C,8492.368695652187,5,1
2017-03-22,2017-03-23,SJS,C,8246.81739130434,6,2
2017-05-25,2017-05-26,SJS,C,9513.182608695643,7,4
2017-09-11,2017-09-12,SJS,C,8648.347826086949,8,6
2018-03-21,2018-03-22,SJS,C,10194.239999999998,9,3
2019-07-05,2019-07-08,SJS,C,7663.826086956519,10,2
2020-05-06,2020-05-07,SJS,C,7412.869565217389,11,12
2020-08-24,2020-08-25,SJS,C,8648.347826086954,12,1
2020-11-20,2020-11-23,SJS,C,10501.565217391302,13,2
2021-03-31,2021-04-01,SJS,C,15057.391304347822,15,10
2021-05-19,2021-05-20,SJS,C,21427.826086956517,16,1
2021-09-22,2021-09-23,SJS,C,25867.826086956513,17,5
2021-12-08,2021-12-09,SJS,C,31504.695652173905,18,10
2023-11-15,2023-11-16,SJS,C,23551.30434782608,21,1
2024-03-05,2024-03-06,SJS,C,29110.95652173912,22,1
2025-03-21,2025-03-24,SJS,C,38068.173913043465,26,11
2021-06-08,2021-06-09,SSB,C,20068.419184981743,16,15
2021-12-02,2021-12-03,SSB,C,22560.46067040805,18,6
