date,ticker,shares,mark_price,mark_value
2017-10-11,GEX,13600,9966.808205422962,135548591.59375226
2017-10-11,MWG,4600,28141.87317371436,129452616.59908606
2017-10-11,PDR,15600,8546.171052545726,133320268.41971332
2017-10-11,PTB,3200,38438.898545226635,123004475.34472524
2017-10-12,VIC,6500,20288.890156719084,131877786.01867405
2017-10-12,HPG,17800,7473.050184511241,133020293.28430009
2017-10-12,MSN,2900,46379.14878719136,134499531.48285496
2017-10-12,VGC,8800,16691.496680004813,146885170.78404236
2017-10-12,GEX,13600,10054.236347575796,136737614.3270308
2017-10-12,MWG,4600,28326.108022642115,130300096.90415372
2017-10-12,PDR,15600,8505.667872201906,132688418.80634974
2017-10-12,PTB,3200,38166.28224348744,122132103.1791598
2017-10-13,VIC,6500,20657.77906865943,134275563.9462863
2017-10-13,HPG,17800,7368.995055359819,131168111.98540477
2017-10-13,MSN,2900,47107.61709274934,136612089.56897306
2017-10-13,VGC,8800,16760.185966753805,147489636.50743347
2017-10-13,GEX,13600,10054.236347575796,136737614.3270308
2017-10-13,MWG,4600,28786.695144961497,132418797.66682288
2017-10-13,PDR,15600,8505.667872201906,132688418.80634974
2017-10-13,PTB,3200,37784.619421052565,120910782.14736821
2017-10-16,VIC,6500,20141.33459194295,130918674.84762916
2017-10-16,HPG,17800,7189.263468643726,127968889.74185832
2017-10-16,MSN,2900,46379.14878719136,134499531.48285496
2017-10-16,VGC,8800,16554.11810650683,145676239.3372601
2017-10-16,GEX,13600,10010.522276499378,136143102.96039155
2017-10-16,MWG,4600,29362.42904786073,135067173.62015936
2017-10-16,PDR,15600,8424.661511514269,131424719.5796226
2017-10-16,PTB,3200,37512.00311931337,120038409.98180278
2017-10-17,VIC,6500,20399.55683030119,132597119.39695773
2017-10-17,HPG,17800,7378.4546125554025,131336492.10348617
2017-10-17,MSN,2900,45488.798635953826,131917516.04426609
2017-10-17,VGC,8800,16691.496680004813,146885170.78404236
2017-10-17,GEX,13600,9923.094134346546,134954080.227113
2017-10-17,MWG,4600,29385.4584039767,135173108.65829283
2017-10-17,PDR,15600,8451.663631743482,131845952.65519832
2017-10-17,PTB,3200,37512.00311931337,120038409.98180278
2017-10-18,VIC,6500,20252.00126552505,131638008.22591282
2017-10-18,HPG,17800,7264.939926208396,129315930.68650945
2017-10-18,MSN,2900,45893.50325015271,133091159.42544286
2017-10-18,VGC,8800,16073.293099263894,141444979.27352226
2017-10-18,GEX,13600,9879.38006327013,134359568.86047375
2017-10-18,MWG,4600,29592.72260902042,136126524.00149393
2017-10-18,PDR,15600,8546.171052545726,133320268.41971332
2017-10-18,PTB,3200,36803.200734791455,117770242.35133265
2017-10-19,VIC,6500,20288.890156719084,131877786.01867405
2017-10-19,HPG,17800,7151.42523986139,127295369.26953274
2017-10-19,MSN,2900,45326.91679027428,131448058.69179541
2017-10-19,VGC,8800,16004.603812514903,140840513.55013114
2017-10-19,GEX,13600,9835.665992193712,133765057.49383448
2017-10-19,MWG,4600,30398.750073079344,139834250.33616498
2017-10-19,PDR,15600,8654.179533462575,135005200.72201616
2017-10-19,PTB,3200,36257.968131313064,116025498.0202018
2017-10-20,VIC,6500,20399.55683030119,132597119.39695773
2017-10-20,HPG,17800,7085.208339492303,126116708.44296299
2017-10-20,MSN,2900,45731.62140447315,132621702.07297215
2017-10-20,VGC,8800,15523.778805271964,136609253.48639327
2017-10-20,GEX,13600,9748.23785004088,132576034.76055597
2017-10-20,MWG,4600,29362.42904786073,135067173.62015936
2017-10-20,PDR,15600,8613.676353118755,134373351.1086526
2017-10-23,VIC,6500,20436.445721495224,132836897.18971895
2017-10-23,HPG,17800,7018.991439123216,124938047.61639324
2017-10-23,MSN,2900,45326.91679027428,131448058.69179541
2017-10-23,VGC,8800,15523.778805271964,136609253.48639327
2017-10-23,GEX,13600,9485.953423582381,129008966.56072038
2017-10-23,MWG,4600,28901.841925541346,132948472.8574902
2017-10-23,PDR,15600,8559.672112660332,133530884.95750117
2017-10-24,VIC,6500,20473.334612689257,133076674.98248017
2017-10-24,HPG,17800,7094.667896687887,126285088.5610444
2017-10-24,MSN,2900,45326.91679027428,131448058.69179541
2017-10-24,VGC,8800,15661.157378769947,137818184.93317553
2017-10-24,GEX,13600,9748.23785004088,132576034.76055597
2017-10-24,MWG,4600,29477.575828440575,135596848.81082663
2017-10-24,PDR,15600,8667.68059357718,135215817.259804
2017-10-25,VIC,6500,20399.55683030119,132597119.39695773
2017-10-25,HPG,17800,7066.289225101135,125779948.20680021
2017-10-25,MSN,2900,45731.62140447315,132621702.07297215
2017-10-25,VGC,8800,15798.53595226793,139027116.3799578
2017-10-25,GEX,13600,9704.523778964463,131981523.3939167
2017-10-25,MWG,4600,30237.544580267557,139092705.06923077
2017-10-25,PDR,15600,8681.181653691787,135426433.79759187
2017-10-26,VIC,6500,20399.55683030119,132597119.39695773
2017-10-26,HPG,17800,7000.072324732048,124601287.38023046
2017-10-26,MSN,2900,46298.207864351585,134264802.80661958
2017-10-26,VGC,8800,15729.846665518939,138422650.65656665
2017-10-26,GEX,13600,9573.381565735213,130197989.2939989
2017-10-26,MWG,4600,30007.251019107865,138033354.6878962
2017-10-26,PDR,15600,8640.678473347969,134794584.18422833
2017-10-27,VIC,6500,21026.66798059978,136673341.87389857
2017-10-27,HPG,17800,7132.506125470222,126958609.03336996
2017-10-27,MSN,2900,47350.439861268664,137316275.59767914
2017-10-27,VGC,8800,15661.157378769947,137818184.93317553
2017-10-27,GEX,13600,9704.523778964463,131981523.3939167
2017-10-27,MWG,4600,30168.456511919652,138774899.9548304
2017-10-27,PDR,15600,8667.68059357718,135215817.259804
2017-10-30,VIC,6500,21395.556892540128,139071119.80151084
2017-10-30,HPG,17800,6962.234095949713,123927766.9079049
2017-10-30,MSN,2900,48564.5537038653,140837205.74120936
2017-10-30,VGC,8800,15661.157378769947,137818184.93317553
2017-10-30,GEX,13600,9573.381565735213,130197989.2939989
2017-10-30,MWG,4600,29892.10423852802,137503679.4972289
2017-10-30,PDR,15600,8586.674232889543,133952118.03307688
2017-10-31,VIC,6500,21580.0013485103,140270008.76531696
2017-10-31,HPG,17800,7000.072324732048,124601287.38023046
2017-10-31,MSN,2900,48159.84908966642,139663562.36003262
2017-10-31,VGC,8800,15592.468092020956,137213719.20978442
2017-10-31,GEX,13600,9529.667494658797,129603477.92735964
2017-10-31,MWG,4600,29592.72260902042,136126524.00149393
2017-10-31,PDR,15600,8532.669992431118,133109651.88192543
2017-11-01,VIC,6500,21616.890239704335,140509786.55807817
2017-11-01,HPG,17800,6754.123837646868,120223404.31011425
2017-11-01,MSN,2900,48564.5537038653,140837205.74120936
2017-11-01,VGC,8800,14905.575224531047,131169061.97587322
2017-11-01,GEX,13600,9529.667494658797,129603477.92735964
2017-11-01,MWG,4600,29224.252911164913,134431563.39135858
2017-11-01,PDR,15600,8532.669992431118,133109651.88192543
2017-11-02,VIC,6500,22133.33471642082,143866675.65673533
2017-11-02,MSN,2900,48645.49462670508,141071934.41744474
2017-11-02,VGC,8800,14424.750217288109,126937801.91213536
2017-11-02,GEX,13600,9311.097139276715,126630921.09416333
2017-11-02,MWG,4600,27635.227339163037,127122045.76014997
2017-11-02,PDR,15600,8492.1668120873,132477802.26856188
2017-11-03,VIC,6500,22207.11249880889,144346231.24225777
2017-11-03,MSN,2900,48726.43554954485,141306663.09368005
2017-11-03,VGC,8800,15111.64308477802,132982459.14604656
2017-11-03,GEX,13600,9267.383068200297,126036409.72752404
2017-11-03,MWG,4600,28901.841925541346,132948472.8574902
2017-11-03,PDR,15600,8546.171052545726,133320268.41971332
2017-11-06,VIC,6500,22317.779172390994,145065564.62054145
2017-11-06,MSN,2900,48726.43554954485,141306663.09368005
2017-11-06,VGC,8800,15592.468092020956,137213719.20978442
2017-11-06,MWG,4600,29247.282267280883,134537498.42949206
2017-11-06,PDR,15600,8546.171052545726,133320268.41971332
2017-11-07,VIC,6500,22871.112540301514,148662231.51195985
2017-11-07,MSN,2900,48483.61278102552,140602477.064974
2017-11-07,VGC,8800,15386.400231773983,135400322.03961104
2017-11-07,MWG,4600,29086.076774469097,133795953.16255784
2017-11-07,PDR,15600,8762.188014379424,136690133.02431902
2017-11-08,VIC,6500,24162.22373209273,157054454.25860274
2017-11-08,MSN,2900,48483.61278102552,140602477.064974
2017-11-08,VGC,8800,15386.400231773983,135400322.03961104
2017-11-08,MWG,4600,29477.575828440575,135596848.81082663
