date,ticker,shares,mark_price,mark_value
2022-06-14,DGC,1500,106524.70422406604,159787056.33609906
2022-06-15,DGC,1500,106694.05987466074,160041089.81199113
2022-06-16,DGC,1500,114061.03067553017,171091546.01329526
2022-08-12,VGC,2900,57549.55092380628,166893697.67903823
2022-08-15,VGC,2900,57202.34398007291,165886797.54221144
2022-08-16,VGC,2900,58070.361339406336,168404047.8842784
2022-08-17,VGC,2900,56681.533564472855,164376447.33697128
2022-08-18,VGC,2900,55813.51620513942,161859196.9949043
2022-08-19,VGC,2900,59719.59432213985,173186823.53420556
2022-08-22,VGC,2900,57983.559603473,168152322.8500717
2022-08-23,VGC,2900,58677.97349093974,170166123.12372524
2022-08-24,VGC,2900,60761.21515333997,176207523.9446859
2022-08-25,VGC,2900,59719.59432213985,173186823.53420556
2022-08-26,VGC,2900,60587.61168147328,175704073.87627253
2022-08-29,VGC,2900,58851.57696280642,170669573.1921386
2022-08-30,VGC,2900,58591.17175500639,169914398.08951855
2022-08-31,VGC,2900,59285.58564247314,171928198.3631721
2022-09-05,VGC,2900,58591.17175500639,169914398.08951855
2022-09-06,VGC,2900,57375.947451939595,166390247.61062482
2022-09-07,VGC,2900,53383.06759900582,154810896.0371169
2022-09-08,VGC,2900,50952.61899287222,147762595.07932946
2022-09-09,VGC,2900,54511.49016613928,158083321.48180392
2022-09-12,VGC,2900,54077.48148647257,156824696.31077045
2022-09-13,VGC,2900,52949.05891933911,153552270.86608344
2022-09-14,VGC,2900,54511.49016613928,158083321.48180392
2022-12-06,KOS,4200,37000.0,155400000.0
2022-12-07,KOS,4200,36750.0,154350000.0
2022-12-08,KOS,4200,36900.0,154980000.0
2022-12-09,KOS,4200,37200.0,156240000.0
2022-12-12,KOS,4200,37350.0,156870000.0
2022-12-13,KOS,4200,37550.0,157710000.0
2022-12-14,KOS,4200,37600.0,157920000.0
2022-12-15,KOS,4200,37600.0,157920000.0
2022-12-16,KOS,4200,37800.0,158760000.0
2022-12-19,KOS,4200,37800.0,158760000.0
2022-12-20,KOS,4200,37800.0,158760000.0
2022-12-21,KOS,4200,37900.0,159180000.0
2022-12-22,KOS,4200,37750.0,158550000.0
2022-12-23,KOS,4200,37700.0,158340000.0
2022-12-26,KOS,4200,37700.0,158340000.0
2023-03-10,KOS,4200,38300.0,160860000.0
2023-03-13,KOS,4200,38350.0,161070000.0
2023-03-14,KOS,4200,37900.0,159180000.0
2023-03-15,KOS,4200,38100.0,160020000.0
2023-03-16,KOS,4200,38150.0,160230000.0
2023-03-17,KOS,4200,37800.0,158760000.0
2023-03-20,KOS,4200,37500.0,157500000.0
